Clip,L1 Loss,L2 Loss,SNR (dB)
34692,2.352025,9.466580,23.79
34693,2.074876,7.542909,24.70
34694,1.795851,5.558049,25.84
34695,1.685407,4.855767,26.16
34696,1.757259,5.034107,25.65
34697,1.898560,5.683212,24.86
34698,1.896794,5.442268,24.92
34699,1.920570,5.881119,24.57
34700,2.059288,7.275262,23.73
34701,2.046727,7.784032,23.61
34702,1.993930,6.947894,24.37
34703,2.124034,7.469830,24.36
34704,2.021243,6.473795,25.34
34705,2.065090,6.544918,25.67
34706,2.175265,7.476003,25.40
34707,2.200574,8.187968,25.15
34708,2.137717,7.929011,25.28
34709,2.125590,7.701003,25.24
34710,2.184597,7.655796,24.94
34711,2.329418,8.442707,24.07
34712,2.580291,10.528998,22.71
34713,2.552991,10.517356,22.40
34714,2.705328,11.605665,21.74
34715,2.782516,12.861720,21.18
34716,2.995063,14.565205,20.65
34717,3.336495,17.578386,19.91
34718,3.407574,17.807524,19.99
34719,2.993130,13.891966,21.25
34720,2.586842,10.721793,22.58
34721,2.303199,8.722952,23.73
34722,2.359700,8.775309,23.99
34723,2.648050,10.278364,23.63
34724,2.430244,8.870977,24.59
34725,2.211652,7.446313,25.65
34726,2.184482,7.781291,25.74
34727,2.082106,7.446006,26.04
34728,1.829759,5.430028,27.35
34729,1.881993,5.742729,26.89
34730,2.037188,6.675388,25.92
34731,2.097860,7.224318,25.14
34732,2.011706,6.408138,25.26
34733,1.967262,5.938666,25.38
34734,1.960868,5.738595,25.50
34735,2.206016,7.553954,24.40
34736,2.394713,9.218863,23.77
34737,2.357135,8.933497,24.27
34738,2.622365,11.180450,23.71
34739,2.583620,10.959083,24.07
34740,2.518883,10.452349,24.45
34741,2.223559,8.375464,25.45
34742,1.827430,5.892279,26.86
34743,1.779733,4.997934,27.30
34744,1.811038,5.111745,26.92
34745,1.823387,5.189467,26.62
34746,1.712109,4.672646,26.88
34747,1.678474,4.952350,26.50
34748,2.047927,7.584521,24.58
34749,2.103575,8.076038,24.30
34750,2.302334,9.234154,23.70
34751,2.235733,8.812797,23.85
34752,2.676702,11.055112,22.76
34753,2.865267,12.502502,22.09
34754,2.973044,13.826621,21.50
34755,3.086163,16.083664,20.69
34756,3.326556,18.452915,20.00
34757,3.349886,18.434452,20.02
34758,2.770496,12.322988,21.90
34759,2.710882,11.923607,22.28
34760,2.722082,12.363984,22.52
34761,2.585933,10.909714,23.56
34762,2.482340,9.987062,24.37
34763,2.388540,9.564824,24.83
34764,2.430427,9.648120,24.90
34765,2.565439,10.772085,24.36
34766,2.666963,11.453603,23.84
34767,2.597562,10.732392,23.77
34768,2.567877,11.292748,23.23
34769,2.658980,12.149626,22.67
34770,2.645532,11.855728,22.63
34771,2.569664,10.963730,22.87
34772,2.585448,10.984473,22.82
34773,2.473106,10.420464,23.01
34774,2.392793,10.007352,23.15
34775,2.449380,10.292282,23.03
34776,2.442680,9.523631,23.44
34777,2.428006,9.083998,23.77
34778,2.009255,6.591906,25.33
34779,2.058478,7.026858,25.22
34780,1.861889,5.474608,26.41
34781,1.827154,5.307703,26.57
34782,1.787757,5.424293,26.45
34783,1.978893,6.910440,25.33
34784,1.969852,6.785364,25.32
34785,2.085979,7.605472,24.75
34786,2.178123,8.888642,24.04
34787,2.399535,10.625056,23.25
34788,2.561905,12.624102,22.50
34789,2.667452,13.258321,22.30
34790,2.557763,11.455357,22.96
34791,2.603107,11.858391,22.84
34792,2.761763,13.216296,22.42
34793,2.552374,11.025493,23.27
34794,2.264648,9.096107,24.17
34795,2.165521,7.865477,24.81
34796,2.116297,7.190698,25.16
34797,2.119763,7.390916,24.95
34798,2.096775,7.278580,24.87
34799,1.980803,6.594134,25.12
34800,1.915627,6.305529,25.15
34801,2.108196,7.271761,24.42
34802,1.991537,7.126487,24.45
34803,2.050122,7.131705,24.43
34804,2.052187,7.084731,24.49
34805,1.982983,6.424569,25.00
34806,2.079983,7.135695,24.65
34807,1.878993,5.998391,25.50
34808,1.834371,5.533577,25.94
34809,1.965847,6.587701,25.24
34810,2.023675,7.072385,24.91
34811,1.929895,6.157149,25.42
34812,1.818259,5.049778,26.15
34813,1.910862,5.465437,25.66
34814,1.931044,5.925251,25.16
34815,1.889951,6.130422,24.94
34816,1.856389,5.750297,25.25
34817,1.847557,5.573387,25.51
34818,1.844079,5.470845,25.79
34819,1.816234,5.245342,26.25
34820,1.816049,5.646619,26.26
34821,1.932787,6.415586,26.01
34822,1.809779,5.801281,26.69
