Clip,L1 Loss,L2 Loss,SNR (dB),SSIM
273,3.129653,17.012999,21.63,0.7773
274,3.164453,17.296736,21.47,0.7728
275,2.641206,13.119493,21.69,0.8052
276,2.675224,12.136897,23.10,0.8146
277,3.312080,18.816217,21.42,0.7605
278,3.336473,18.665104,20.98,0.7229
279,3.415698,19.748484,21.10,0.7625
280,3.118158,16.288832,21.54,0.7598
281,2.612619,11.958243,23.11,0.7948
282,2.957380,15.322731,21.83,0.7983
283,3.258997,18.158052,20.98,0.7346
284,2.352159,9.978395,24.47,0.7845
285,3.144375,16.748693,21.30,0.7680
286,2.653550,11.881131,22.99,0.7928
287,2.783645,13.156005,22.55,0.8052
288,2.731128,12.718028,22.28,0.7962
289,2.943698,14.495539,22.21,0.7581
290,2.681954,12.289544,23.07,0.7938
291,3.210328,17.349207,21.81,0.7547
292,2.933170,14.844741,22.31,0.7581
293,2.665181,12.260825,22.37,0.7794
294,2.622192,12.229311,23.38,0.8071
295,3.349529,19.472916,20.86,0.7713
296,3.375782,20.300613,20.87,0.7335
297,3.028555,15.784052,22.09,0.7941
298,2.865526,13.778226,21.81,0.7801
299,3.122480,16.669426,21.35,0.7692
300,2.547818,11.432771,24.02,0.7694
301,2.642728,12.349654,23.04,0.7716
302,2.811492,13.157806,21.60,0.7677
303,3.001554,15.361936,21.62,0.7823
304,3.299005,18.750065,21.17,0.7431
305,2.688773,12.652630,22.89,0.8018
306,2.844409,14.021723,22.64,0.7360
307,3.274600,18.303942,21.28,0.7726
308,2.347154,9.393201,24.24,0.8181
309,3.403090,19.917896,21.41,0.7638
310,3.539963,21.885889,21.03,0.7103
311,2.698255,12.689148,22.70,0.7893
312,3.522341,21.378515,21.00,0.7081
313,2.438246,10.492470,23.63,0.7235
314,2.645057,11.854148,22.08,0.8218
315,2.909305,14.324190,22.20,0.7929
316,2.720673,12.468652,22.72,0.7947
317,3.069736,15.835482,21.43,0.7623
318,2.544808,11.377238,23.09,0.8092
319,1.865318,5.904234,26.82,0.7194
320,3.165762,16.509468,21.61,0.7795
321,3.016251,15.668426,21.48,0.7774
322,2.564245,11.445067,22.84,0.8206
323,2.096417,7.757669,25.75,0.7659
324,3.043912,15.733561,21.26,0.7436
325,3.052514,16.518965,21.69,0.7753
326,2.293406,9.737899,24.13,0.7487
327,2.240108,9.453262,24.57,0.7220
328,3.048758,16.874065,21.66,0.7769
329,2.420150,10.476027,23.39,0.7860
330,2.968845,15.194694,22.01,0.8039
331,3.333375,18.863764,21.11,0.7627
332,3.086783,16.474768,21.08,0.7789
333,3.056018,15.834726,21.68,0.7781
334,2.977572,14.914767,21.80,0.7900
335,2.391538,10.087531,24.21,0.7668
336,2.818266,14.191154,23.06,0.7264
337,2.945015,14.975286,22.33,0.7406
338,3.020328,15.855680,22.04,0.7507
339,2.941483,14.591387,22.17,0.7644
340,2.870403,13.920691,22.06,0.7862
341,3.245104,17.868103,21.64,0.7679
342,2.698244,12.861304,22.67,0.8127
343,2.820112,13.536792,22.75,0.7847
344,3.281355,19.252808,21.25,0.7967

Promedios,2.897498,14.784513,22.33,0.7679
